,station_id,lat,lon
0,7000,43.639832,-79.395954
1,7001,43.647992,-79.370907
2,7002,43.667333,-79.399429
3,7003,43.667158,-79.402761
4,7004,43.656518,-79.389099
5,7005,43.6480008,-79.383177
6,7006,43.660439,-79.385525
7,7007,43.658148,-79.398167
8,7008,43.663376,-79.392125
9,7009,43.650325,-79.372287
10,7010,43.645323,-79.395003
11,7011,43.642982,-79.399256
12,7012,43.656026,-79.385327
13,7013,43.64656,-79.375274
14,7014,43.663102,-79.373181
15,7015,43.64852,-79.380576
16,7016,43.640823,-79.376265
17,7017,43.6475076,-79.3914841
18,7018,43.641529,-79.386741
19,7019,43.6507021,-79.3800546
20,7020,43.650033,-79.396555
21,7021,43.653264,-79.382458
22,7022,43.650858,-79.387582
23,7023,43.6571,-79.4056
24,7024,43.66663,-79.38148
25,7025,43.671293,-79.380471
26,7026,43.665527,-79.387499
27,7027,43.652823,-79.393388
28,7028,43.6582,-79.3768
29,7029,43.6501624,-79.3733997
30,7030,43.664088,-79.387095
31,7031,43.668991,-79.379385
32,7032,43.652473,-79.401456
33,7033,43.645609,-79.380386
34,7034,43.671389,-79.382919
35,7035,43.643975,-79.419576
36,7036,43.651318,-79.36023
37,7037,43.6523,-79.4058
38,7038,43.656094,-79.381484
39,7039,43.652327224103,-79.3882538196087
40,7040,43.664467,-79.414783
41,7041,43.656729,-79.382736
42,7042,43.6673,-79.374
43,7043,43.63951,-79.383717
44,7044,43.663722,-79.380288
45,7045,43.653236,-79.376716
46,7046,43.64534,-79.409597
47,7047,43.657763,-79.389165
48,7048,43.646144,-79.377962
49,7049,43.6476,-79.4015
50,7050,43.652634,-79.374222
51,7051,43.66506,-79.38357
52,7052,43.647259,-79.379878
53,7053,43.645859,-79.38783
54,7054,43.640722,-79.391051
55,7055,43.66207,-79.37617
56,7056,43.662132,-79.3656796
57,7057,43.6458569,-79.3853654
58,7058,43.6637,-79.400053
59,7059,43.643473,-79.390477
60,7060,43.652123,-79.367139
61,7061,43.6662942,-79.4066433
62,7062,43.659226,-79.390213
63,7063,43.668456,-79.393899
64,7064,43.65205,-79.362198
65,7065,43.659575,-79.365769
66,7066,43.662085,-79.397735
67,7067,43.643795,-79.375413
68,7068,43.644607,-79.366295
69,7069,43.649147,-79.395504
70,7070,43.643667,-79.380414
71,7071,43.666233,-79.373327
72,7073,43.640114,-79.393249
73,7074,43.664137,-79.402496
74,7075,43.636533,-79.395854
75,7076,43.640132,-79.380464
76,7077,43.659777,-79.382767
77,7078,43.6576,-79.4032
78,7079,43.660694,-79.379052
79,7083,43.688325,-79.300463
80,7084,43.645599,-79.4657123
81,7085,43.687323,-79.304848
82,7086,43.6525077,-79.4654233
83,7087,43.684758,-79.316767
84,7088,43.683378,-79.322961
85,7089,43.662712,-79.379903
86,7090,43.681991,-79.329455
87,7091,43.681126,-79.337779
88,7092,43.680223,-79.344062
89,7093,43.678401,-79.346289
90,7094,43.678056,-79.352222
91,7095,43.677076,-79.35667
92,7096,43.661508,-79.338931
93,7097,43.671172,-79.354704
94,7098,43.667819,-79.35347
95,7099,43.651248,-79.357848
96,7100,43.660207,-79.361275
97,7101,43.648655,-79.367061
98,7102,43.648711,-79.389728
99,7103,43.6605603,-79.3437663
100,7104,43.657071,-79.356598
101,7105,43.6561111,-79.3613888888889
102,7106,43.652219,-79.354455
103,7107,43.650279,-79.356832
104,7108,43.652686,-79.358395
105,7109,43.658777,-79.369596
106,7110,43.6552778,-79.3658333333333
107,7111,43.640885,-79.416379
108,7112,43.637981,-79.424146
109,7113,43.665278,-79.368333
110,7114,43.664524,-79.36793
111,7115,43.6712581,-79.376367
112,7117,43.674083,-79.368579
113,7118,43.648575,-79.380042
114,7119,43.665867,-79.362506
115,7120,43.663993,-79.358534
116,7121,43.657266,-79.374756
117,7122,43.641389,-79.404444
118,7123,43.643834,-79.396649
119,7124,43.662365,-79.351104
120,7126,43.671944,-79.387778
121,7127,43.672829,-79.390592
122,7128,43.675492,-79.388858
123,7129,43.674991,-79.396273
124,7130,43.675481,-79.397359
125,7131,43.66986,-79.398443
126,7132,43.670318,-79.405181
127,7133,43.681944,-79.390556
128,7134,43.68,-79.391111
129,7135,43.638333,-79.419722
130,7136,43.640634,-79.435841
131,7137,43.676667,-79.416111
132,7138,43.675278,-79.423889
133,7139,43.677778,-79.405556
134,7140,43.675791,-79.40698
135,7141,43.675556,-79.410278
136,7142,43.674444,-79.414722
137,7143,43.671513,-79.408317
138,7144,43.671389,-79.416389
139,7146,43.68,-79.425
140,7147,43.6394444,-79.4252777777778
141,7148,43.639444,-79.423611
142,7149,43.67,-79.4208333333333
143,7150,43.6555556,-79.4336111111111
144,7151,43.6686111,-79.4202777777778
145,7152,43.661705,-79.425734
146,7153,43.6638889,-79.4188888888889
147,7154,43.6666667,-79.4116666666667
148,7155,43.663808,-79.410491
149,7156,43.6608333,-79.4316666666667
150,7157,43.6608333333333,-79.4358333333333
151,7158,43.6422222,-79.4111111111111
152,7160,43.6433333333333,-79.4055555555556
153,7161,43.6575,-79.3952777777778
154,7162,43.6591666666667,-79.3855555555556
155,7163,43.6622222,-79.3825
156,7164,43.657424,-79.381019
157,7167,43.6544444,-79.3711111111111
158,7168,43.641646,-79.375308
159,7169,43.646162,-79.378912
160,7170,43.6616667,-79.4013888888889
161,7171,43.6322445,-79.4108105
162,7172,43.635,-79.4088888888889
163,7173,43.66666667,-79.4583333333333
164,7174,43.6563889,-79.4516666666667
165,7175,43.63796,-79.387502
166,7176,43.639179,-79.399595
167,7177,43.6386111111111,-79.4147222222222
168,7178,43.657192,-79.452559
169,7179,43.6575,-79.4502777777778
170,7180,43.6587734,-79.443054
171,7181,43.6538888888889,-79.4413888888889
172,7182,43.6508333333333,-79.4430555555556
173,7183,43.651238,-79.43868
174,7184,43.6544915,-79.422634
175,7188,43.6366666666667,-79.4197222222222
176,7189,43.653766,-79.4016759
177,7190,43.664059,-79.398334
178,7191,43.661975,-79.407896
179,7192,43.660414,-79.415646
180,7193,43.6430555555556,-79.4275
181,7194,43.690564,-79.326319
182,7195,43.66,-79.4088888888889
183,7196,43.65905,-79.422988
184,7197,43.6436111111111,-79.4225
185,7198,43.6409,-79.432837
186,7199,43.6563888888889,-79.4091666666667
187,7202,43.651667,-79.384167
188,7203,43.635492,-79.398253
189,7204,43.655,-79.418889
190,7205,43.65277778,-79.42972222
